,codex_v3_1,claude_v3_lgb,claude_v3_xgb,claude_v3_cat,임신 성공 여부
codex_v3_1,1.0,0.9966077756241359,0.9969070050980959,0.9979516340347102,0.3604077448592296
claude_v3_lgb,0.9966077756241359,1.0,0.9991071774884281,0.9978523384745913,0.3593223545738101
claude_v3_xgb,0.9969070050980959,0.9991071774884281,1.0,0.9981820078326852,0.35992724981591845
claude_v3_cat,0.9979516340347102,0.9978523384745913,0.9981820078326852,1.0,0.35978804979082807
임신 성공 여부,0.3604077448592296,0.3593223545738101,0.35992724981591845,0.35978804979082807,1.0
