iter	Logloss
0	0.6813100677
5	0.6292511785
10	0.5942556691
15	0.5742773206
20	0.5587197863
25	0.5471466152
30	0.5380596569
35	0.5306866936
40	0.5249351171
45	0.5183626759
50	0.5141723347
55	0.5108504765
60	0.5072966596
65	0.5050806526
70	0.5035411694
75	0.5022890346
80	0.500853969
85	0.4998808017
90	0.4984239459
95	0.4977068131
100	0.4968108257
105	0.4962956329
110	0.495708403
115	0.4953080658
120	0.494830282
125	0.494391431
130	0.4939762749
135	0.4936948693
140	0.4931544198
145	0.49266296
150	0.4923452502
155	0.4921284913
160	0.4918646093
165	0.4916282316
170	0.4914854146
175	0.4913085028
180	0.4910548302
185	0.4909361652
190	0.490724511
195	0.4906040555
200	0.4904774668
205	0.4903180405
210	0.4902046707
215	0.4900340064
220	0.489855647
225	0.4897447533
230	0.4896483356
235	0.4895609083
240	0.4894742809
245	0.4893547397
250	0.4892194273
255	0.4891025528
260	0.4890316585
265	0.4889411836
270	0.4888316994
275	0.4887597385
280	0.4886831301
285	0.4885649984
290	0.488481152
295	0.4884125434
300	0.488315059
305	0.4882486219
310	0.488171442
315	0.4881145285
320	0.488048358
325	0.4879894255
330	0.4879098076
335	0.487841999
340	0.4877797904
345	0.4877290863
350	0.487660592
355	0.4876079071
360	0.4875623839
365	0.4875074894
370	0.4874540806
375	0.4874039861
380	0.4873603677
385	0.4873144636
390	0.4872712642
395	0.4872354551
400	0.487194351
405	0.487143304
410	0.4870886762
415	0.4870520672
420	0.487002887
425	0.4869617066
430	0.486923269
435	0.4868886029
440	0.486846432
445	0.4868025469
450	0.4867661665
455	0.486731386
460	0.4866962246
465	0.4866564537
470	0.4866271589
475	0.4866007974
480	0.4865596551
485	0.4865309698
490	0.4864852942
495	0.4864551613
500	0.4864124952
505	0.4863473152
510	0.4863119633
515	0.486286897
520	0.4862484214
525	0.4862246503
530	0.4861898698
535	0.486159394
540	0.4861294516
545	0.4860907093
550	0.4860690715
555	0.4860379481
560	0.4859967296
565	0.4859737204
570	0.4859521588
575	0.485934521
580	0.4859149022
585	0.4858997786
590	0.4858613411
595	0.485832351
600	0.485818675
605	0.4857887326
610	0.4857529997
615	0.4857149431
620	0.4856924672
625	0.485672658
630	0.4856481631
635	0.4856314014
640	0.4855958972
645	0.4855821831
650	0.4855480502
655	0.4855240506
660	0.4855179554
665	0.4854886987
670	0.4854767369
675	0.485468699
680	0.4854350613
685	0.4854098426
690	0.4853958619
695	0.4853819573
700	0.4853718241
705	0.4853618433
710	0.4853464911
715	0.4853348342
720	0.4853160154
725	0.4853033298
730	0.4852843206
735	0.4852709112
740	0.4852607781
745	0.4852432926
750	0.4852288928
755	0.4852264928
760	0.4852083217
765	0.4851951028
770	0.4851695793
775	0.4851535415
780	0.4851357893
785	0.4851093516
790	0.4850752949
795	0.485051981
800	0.4850288956
805	0.4850084387
810	0.4849901533
815	0.4849686298
820	0.4849503824
825	0.4849244018
830	0.4849040973
835	0.4848849357
840	0.4848736597
845	0.484850879
850	0.4848359078
855	0.4848056606
860	0.4847728992
865	0.4847549947
870	0.4847479852
875	0.4847300807
880	0.4847039478
885	0.4846905003
890	0.4846756434
895	0.4846497009
900	0.4846210537
905	0.4846080253
910	0.4845554165
915	0.4845395691
920	0.4845148076
925	0.4844851699
930	0.4844734367
935	0.4844537037
940	0.484415609
945	0.484396333
950	0.4843622764
955	0.4843372101
960	0.4843196865
965	0.4843060867
970	0.4842884488
975	0.4842783537
980	0.4842574397
985	0.4842220117
990	0.4841927168
995	0.4841766028
1000	0.4841572126
1005	0.4841286796
1010	0.484109899
1015	0.4840974039
1020	0.4840831565
1025	0.4840684138
1030	0.4840488712
1035	0.4840291382
1040	0.4839947768
1045	0.4839790817
1050	0.4839503202
1055	0.4839315396
1060	0.4839171398
1065	0.4838928734
1070	0.4838736737
1075	0.4838532549
1080	0.4838314648
1085	0.4838095222
1090	0.4837881511
1095	0.4837670847
1100	0.4837528754
1105	0.4837365709
1110	0.4837110474
1115	0.4836906286
1120	0.4836707432
1125	0.483651772
1130	0.4836289152
1135	0.4836100583
1140	0.4836048013
1145	0.4835843825
1150	0.4835795826
1155	0.4835597352
1160	0.4835358499
1165	0.4835175644
1170	0.4835011837
1175	0.4834868982
1180	0.483474784
1185	0.4834616414
1190	0.4834443464
1195	0.4834229372
1200	0.4834027089
1205	0.4833893376
1210	0.4833726141
1215	0.4833529572
1220	0.4833384812
1225	0.4833263671
1230	0.4833129577
1235	0.4832939485
1240	0.4832747869
1245	0.4832582157
1250	0.4832357779
1255	0.4832157401
1260	0.4831962737
1265	0.4831798929
1270	0.4831659884
1275	0.4831524267
1280	0.4831387507
1285	0.4831261032
1290	0.4831020274
1295	0.4830867895
1300	0.4830667136
1305	0.4830601994
1310	0.483043552
1315	0.4830364664
1320	0.483023019
1325	0.4830059525
1330	0.4829893432
1335	0.482975553
1340	0.4829640484
1345	0.4829500295
1350	0.4829333821
1355	0.4829174204
1360	0.4829030206
1365	0.4828881637
1370	0.4828760115
1375	0.482863364
1380	0.4828511737
1385	0.4828385263
1390	0.4828188694
1395	0.4827890794
1400	0.4827755177
1405	0.4827532704
1410	0.482735023
1415	0.4827123185
1420	0.4826987568
1425	0.4826820714
1430	0.4826655763
1435	0.4826424529
1440	0.4826240912
1445	0.4826066819
1450	0.4825862632
1455	0.4825595588
1460	0.4825420733
1465	0.4825255402
1470	0.4825143404
1475	0.4824985692
1480	0.4824818456
1485	0.4824717124
1490	0.482457465
1495	0.4824427604
1500	0.4824250083
1505	0.4824116751
1510	0.4824007801
1515	0.4823869517
1520	0.4823744566
1525	0.4823571616
1530	0.4823429142
1535	0.482323524
1540	0.4823018862
1545	0.4822966672
1550	0.4822780008
1555	0.4822668772
1560	0.4822468394
1565	0.4822371252
1570	0.4822189159
1575	0.48219804
1580	0.482185545
1585	0.4821599453
1590	0.4821446694
1595	0.4821294315
1600	0.4821034509
1605	0.4820846702
1610	0.4820690514
1615	0.4820504612
1620	0.4820280996
1625	0.4820101951
1630	0.4819964429
1635	0.4819839097
1640	0.4819573196
1645	0.4819418532
1650	0.481924101
1655	0.4819082155
1660	0.4818878349
1665	0.4818675685
1670	0.4818522925
1675	0.4818355689
1680	0.4818236834
1685	0.4818129026
1690	0.4817967885
1695	0.4817784269
1700	0.4817681032
1705	0.4817559129
1710	0.4817433417
1715	0.4817294752
1720	0.4817156468
1725	0.4817017803
1730	0.481683533
1735	0.4816659713
1740	0.4816510763
1745	0.481634467
1750	0.481621591
1755	0.4816041436
1760	0.4815825058
1765	0.4815666584
1770	0.4815489444
1775	0.4815313065
1780	0.4815198781
1785	0.4815077259
1790	0.4814883738
1795	0.4814772121
1800	0.4814703931
1805	0.4814535552
1810	0.4814359174
1815	0.4814278032
1820	0.4814208319
1825	0.4814091368
1830	0.4813952703
1835	0.481384261
1840	0.4813678803
1845	0.4813612899
1850	0.4813461282
1855	0.4813352331
1860	0.4813236523
1865	0.4813075001
1870	0.4812945099
1875	0.4812810243
1880	0.4812611008
1885	0.4812471581
1890	0.4812323774
1895	0.4812179014
1900	0.4812000731
1905	0.4811848352
1910	0.4811635403
1915	0.4811535975
1920	0.4811406072
1925	0.4811277312
1930	0.4811177504
1935	0.4811115791
1940	0.481096265
1945	0.4810782462
1950	0.4810549323
1955	0.481041561
1960	0.4810260565
1965	0.4810167233
1970	0.4810101329
1975	0.4809997711
1980	0.4809909713
1985	0.4809771048
1990	0.4809645716
1995	0.4809465528
2000	0.4809348197
2005	0.4809140199
2010	0.4808988964
2015	0.4808798109
2020	0.4808636587
2025	0.4808459447
2030	0.4808358115
2035	0.4808208784
2040	0.4808064786
2045	0.4807986692
2050	0.4807783266
2055	0.4807646506
2060	0.4807492604
2065	0.4807398129
2070	0.4807264797
2075	0.4807127275
2080	0.4807018324
2085	0.4806944802
2090	0.4806812232
2095	0.4806616044
2100	0.4806497189
2105	0.4806336048
2110	0.4806225955
2115	0.48060671
2120	0.4805907864
2125	0.480580958
2130	0.4805766532
2135	0.4805617963
2140	0.4805434728
2145	0.4805203112
2150	0.4805023686
2155	0.4804877021
2160	0.480476807
2165	0.4804618358
2170	0.4804529978
2175	0.4804377219
2180	0.4804211888
2185	0.4804101413
2190	0.4803982558
2195	0.4803866369
2200	0.4803692276
2205	0.4803531135
